Sample ID,Product Name,Product Type,Analysis Profile,Date/Time of Analysis,Instrument Serial Number,Outlier,Lab,Predicted Dry matter %,Predicted Protein As is %,Predicted ICP As is %,Predicted ADF As is %,Predicted NDF As is %,Predicted Fat As is %,Predicted Ash As is %,Predicted Lignin As is %,Predicted NDFICP As is %,Predicted Insoluble impurities As is %,Predicted Sugar As is %,Predicted 24dNDFr As is %,Predicted 30dNDFr As is %,Predicted 48dNDFr As is %,Predicted Calcium As is %,Predicted Chlorine As is %,Predicted Potassium As is %,Predicted Magnesium As is %,Predicted Phosphorus As is %,Predicted Sulfur As is %,Predicted DM As is %,Predicted GAL As is %,Predicted GLC As is %,Predicted IVTD As is %,Predicted KL As is %,Predicted MAN As is %,Predicted RHA As is %,Predicted UA As is %,Predicted XYL As is %,Bias Dry matter %,Slope Dry matter %,Bias Protein As is %,Slope Protein As is %,Bias ICP As is %,Slope ICP As is %,Bias ADF As is %,Slope ADF As is %,Bias NDF As is %,Slope NDF As is %,Bias Fat As is %,Slope Fat As is %,Bias Ash As is %,Slope Ash As is %,Bias Lignin As is %,Slope Lignin As is %,Bias NDFICP As is %,Slope NDFICP As is %,Bias Insoluble impurities As is %,Slope Insoluble impurities As is %,Bias Sugar As is %,Slope Sugar As is %,Bias 24dNDFr As is %,Slope 24dNDFr As is %,Bias 30dNDFr As is %,Slope 30dNDFr As is %,Bias 48dNDFr As is %,Slope 48dNDFr As is %,Bias Calcium As is %,Slope Calcium As is %,Bias Chlorine As is %,Slope Chlorine As is %,Bias Potassium As is %,Slope Potassium As is %,Bias Magnesium As is %,Slope Magnesium As is %,Bias Phosphorus As is %,Slope Phosphorus As is %,Bias Sulfur As is %,Slope Sulfur As is %,Bias DM As is %,Slope DM As is %,Bias GAL As is %,Slope GAL As is %,Bias GLC As is %,Slope GLC As is %,Bias IVTD As is %,Slope IVTD As is %,Bias KL As is %,Slope KL As is %,Bias MAN As is %,Slope MAN As is %,Bias RHA As is %,Slope RHA As is %,Bias UA As is %,Slope UA As is %,Bias XYL As is %,Slope XYL As is %,Calib File Name Dry matter %,Subcal Dry matter %,Calib File Name Protein As is %,Subcal Protein As is %,Calib File Name ICP As is %,Subcal ICP As is %,Calib File Name ADF As is %,Subcal ADF As is %,Calib File Name NDF As is %,Subcal NDF As is %,Calib File Name Fat As is %,Subcal Fat As is %,Calib File Name Ash As is %,Subcal Ash As is %,Calib File Name Lignin As is %,Subcal Lignin As is %,Calib File Name NDFICP As is %,Subcal NDFICP As is %,Calib File Name Insoluble impurities As is %,Subcal Insoluble impurities As is %,Calib File Name Sugar As is %,Subcal Sugar As is %,Calib File Name 24dNDFr As is %,Subcal 24dNDFr As is %,Calib File Name 30dNDFr As is %,Subcal 30dNDFr As is %,Calib File Name 48dNDFr As is %,Subcal 48dNDFr As is %,Calib File Name Calcium As is %,Subcal Calcium As is %,Calib File Name Chlorine As is %,Subcal Chlorine As is %,Calib File Name Potassium As is %,Subcal Potassium As is %,Calib File Name Magnesium As is %,Subcal Magnesium As is %,Calib File Name Phosphorus As is %,Subcal Phosphorus As is %,Calib File Name Sulfur As is %,Subcal Sulfur As is %,Calib File Name DM As is %,Calib File Name GAL As is %,Calib File Name GLC As is %,Calib File Name IVTD As is %,Calib File Name KL As is %,Calib File Name MAN As is %,Calib File Name RHA As is %,Calib File Name UA As is %,Calib File Name XYL As is %,Spectrometer SN,Sample shape,Sample Tray,Product Repeats,Product Repacks,Comment,M-Distance actual Dry matter %,M-Distance Warning Dry matter %,M-Distance Action Dry matter %,M-Distance actual Protein As is %,M-Distance Warning Protein As is %,M-Distance Action Protein As is %,M-Distance actual ICP As is %,M-Distance Warning ICP As is %,M-Distance Action ICP As is %,M-Distance actual ADF As is %,M-Distance Warning ADF As is %,M-Distance Action ADF As is %,M-Distance actual NDF As is %,M-Distance Warning NDF As is %,M-Distance Action NDF As is %,M-Distance actual Fat As is %,M-Distance Warning Fat As is %,M-Distance Action Fat As is %,M-Distance actual Ash As is %,M-Distance Warning Ash As is %,M-Distance Action Ash As is %,M-Distance actual Lignin As is %,M-Distance Warning Lignin As is %,M-Distance Action Lignin As is %,M-Distance actual NDFICP As is %,M-Distance Warning NDFICP As is %,M-Distance Action NDFICP As is %,M-Distance actual Insoluble impurities As is %,M-Distance Warning Insoluble impurities As is %,M-Distance Action Insoluble impurities As is %,M-Distance actual Sugar As is %,M-Distance Warning Sugar As is %,M-Distance Action Sugar As is %,M-Distance actual 24dNDFr As is %,M-Distance Warning 24dNDFr As is %,M-Distance Action 24dNDFr As is %,M-Distance actual 30dNDFr As is %,M-Distance Warning 30dNDFr As is %,M-Distance Action 30dNDFr As is %,M-Distance actual 48dNDFr As is %,M-Distance Warning 48dNDFr As is %,M-Distance Action 48dNDFr As is %,M-Distance actual Calcium As is %,M-Distance Warning Calcium As is %,M-Distance Action Calcium As is %,M-Distance actual Chlorine As is %,M-Distance Warning Chlorine As is %,M-Distance Action Chlorine As is %,M-Distance actual Potassium As is %,M-Distance Warning Potassium As is %,M-Distance Action Potassium As is %,M-Distance actual Magnesium As is %,M-Distance Warning Magnesium As is %,M-Distance Action Magnesium As is %,M-Distance actual Phosphorus As is %,M-Distance Warning Phosphorus As is %,M-Distance Action Phosphorus As is %,M-Distance actual Sulfur As is %,M-Distance Warning Sulfur As is %,M-Distance Action Sulfur As is %,M-Distance actual DM As is %,M-Distance actual GAL As is %,M-Distance actual GLC As is %,M-Distance actual IVTD As is %,M-Distance actual KL As is %,M-Distance actual MAN As is %,M-Distance actual RHA As is %,M-Distance actual UA As is %,M-Distance actual XYL As is %
20389,Hay,Undefined,Hay,2/15/2023 3:51:12 PM,1921614,Yes,No,92,1.97,0.56,38.75,69.86,1.65,1.29,5.11,1.1,-1.3,16.19,54.43,52.38,38.56,0.15,0.21,-0.02,0.15,0.07,0.08,,,,,,,,,,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,,,,,,,,,,,,,,,,,,,Hay April 7 2009.cal,1,Hay April 7 2009.cal,2,Hay April 7 2009.cal,3,Hay April 7 2009.cal,4,Hay April 7 2009.cal,5,Hay April 7 2009.cal,6,Hay April 7 2009.cal,7,Hay April 7 2009.cal,8,Hay April 7 2009.cal,9,Hay April 7 2009.cal,10,Hay April 7 2009.cal,11,Hay April 7 2009.cal,12,Hay April 7 2009.cal,13,Hay April 7 2009.cal,14,Hay April 7 2009.cal,16,Hay April 7 2009.cal,17,Hay April 7 2009.cal,18,Hay April 7 2009.cal,19,Hay April 7 2009.cal,21,Hay April 7 2009.cal,22,,,,,,,,,,SNIR6032,Unknown,"Small Plastic Cup, static",1,1,,2.3,5,10,1.6,5,10,1.32,5,10,1.82,5,10,1.72,5,10,2.2,5,10,1.73,5,10,1.75,5,10,1.64,5,10,1.11,5,10,1.61,5,10,5.87,5,10,7.49,5,10,6.5,5,10,1.91,5,10,3.16,5,10,2.28,5,10,1.73,5,10,1.64,5,10,1.12,5,10,,,,,,,,,
91754,Hay,Undefined,Hay,2/15/2023 3:52:31 PM,1921614,Yes,No,93.48,1.92,0.61,45.67,76.16,1.69,0.15,7.15,1.13,-1.53,13.97,63.2,61.39,44.89,0.1,0.01,0.57,0.11,0.1,0.08,,,,,,,,,,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,,,,,,,,,,,,,,,,,,,Hay April 7 2009.cal,1,Hay April 7 2009.cal,2,Hay April 7 2009.cal,3,Hay April 7 2009.cal,4,Hay April 7 2009.cal,5,Hay April 7 2009.cal,6,Hay April 7 2009.cal,7,Hay April 7 2009.cal,8,Hay April 7 2009.cal,9,Hay April 7 2009.cal,10,Hay April 7 2009.cal,11,Hay April 7 2009.cal,12,Hay April 7 2009.cal,13,Hay April 7 2009.cal,14,Hay April 7 2009.cal,16,Hay April 7 2009.cal,17,Hay April 7 2009.cal,18,Hay April 7 2009.cal,19,Hay April 7 2009.cal,21,Hay April 7 2009.cal,22,,,,,,,,,,SNIR6032,Unknown,"Small Plastic Cup, static",1,1,,2.71,5,10,2.1,5,10,1.96,5,10,2.72,5,10,2.29,5,10,3.09,5,10,2.11,5,10,2.19,5,10,2.07,5,10,1.45,5,10,1.95,5,10,4.09,5,10,6.58,5,10,4.9,5,10,2.47,5,10,2.92,5,10,2.64,5,10,2.43,5,10,3.45,5,10,1.58,5,10,,,,,,,,,
91751,Hay,Undefined,Hay,2/15/2023 3:54:06 PM,1921614,Yes,No,94.28,1.47,0.64,45.16,80.1,1.65,0.76,6.58,1.46,-1.65,12.12,67.9,66.56,45.47,0.12,0.46,0.17,0.14,0.08,0.07,,,,,,,,,,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,,,,,,,,,,,,,,,,,,,Hay April 7 2009.cal,1,Hay April 7 2009.cal,2,Hay April 7 2009.cal,3,Hay April 7 2009.cal,4,Hay April 7 2009.cal,5,Hay April 7 2009.cal,6,Hay April 7 2009.cal,7,Hay April 7 2009.cal,8,Hay April 7 2009.cal,9,Hay April 7 2009.cal,10,Hay April 7 2009.cal,11,Hay April 7 2009.cal,12,Hay April 7 2009.cal,13,Hay April 7 2009.cal,14,Hay April 7 2009.cal,16,Hay April 7 2009.cal,17,Hay April 7 2009.cal,18,Hay April 7 2009.cal,19,Hay April 7 2009.cal,21,Hay April 7 2009.cal,22,,,,,,,,,,SNIR6032,Unknown,"Small Plastic Cup, static",1,1,,2.87,5,10,2.22,5,10,1.82,5,10,2.56,5,10,2.26,5,10,2.41,5,10,2.23,5,10,2.41,5,10,2.22,5,10,1.32,5,10,1.91,5,10,9.92,5,10,10.62,5,10,7.51,5,10,2.14,5,10,3.32,5,10,2.48,5,10,2.05,5,10,2.56,5,10,1.57,5,10,,,,,,,,,
20391,Hay,Undefined,Hay,2/15/2023 3:55:03 PM,1921614,Yes,No,92.72,3.08,0.52,40.1,71.14,1.7,1.27,5.57,1.11,-0.21,14.59,56.54,55.19,39.97,0.17,0.23,0.3,0.15,0.09,0.09,,,,,,,,,,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,,,,,,,,,,,,,,,,,,,Hay April 7 2009.cal,1,Hay April 7 2009.cal,2,Hay April 7 2009.cal,3,Hay April 7 2009.cal,4,Hay April 7 2009.cal,5,Hay April 7 2009.cal,6,Hay April 7 2009.cal,7,Hay April 7 2009.cal,8,Hay April 7 2009.cal,9,Hay April 7 2009.cal,10,Hay April 7 2009.cal,11,Hay April 7 2009.cal,12,Hay April 7 2009.cal,13,Hay April 7 2009.cal,14,Hay April 7 2009.cal,16,Hay April 7 2009.cal,17,Hay April 7 2009.cal,18,Hay April 7 2009.cal,19,Hay April 7 2009.cal,21,Hay April 7 2009.cal,22,,,,,,,,,,SNIR6032,Unknown,"Small Plastic Cup, static",1,1,,2.3,5,10,1.71,5,10,1.49,5,10,2.04,5,10,1.86,5,10,2.38,5,10,1.81,5,10,1.84,5,10,1.71,5,10,1.1,5,10,1.63,5,10,5.14,5,10,6.9,5,10,5.14,5,10,1.94,5,10,2.84,5,10,2.27,5,10,1.76,5,10,1.76,5,10,1.15,5,10,,,,,,,,,
91753,Hay,Undefined,Hay,2/15/2023 3:56:23 PM,1921614,Yes,No,94.24,2.26,0.59,43.69,75.29,1.73,-0.14,6.38,1.1,-0.94,13.96,62.91,60.57,42.6,0.17,0.06,0.14,0.14,0.09,0.08,,,,,,,,,,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,,,,,,,,,,,,,,,,,,,Hay April 7 2009.cal,1,Hay April 7 2009.cal,2,Hay April 7 2009.cal,3,Hay April 7 2009.cal,4,Hay April 7 2009.cal,5,Hay April 7 2009.cal,6,Hay April 7 2009.cal,7,Hay April 7 2009.cal,8,Hay April 7 2009.cal,9,Hay April 7 2009.cal,10,Hay April 7 2009.cal,11,Hay April 7 2009.cal,12,Hay April 7 2009.cal,13,Hay April 7 2009.cal,14,Hay April 7 2009.cal,16,Hay April 7 2009.cal,17,Hay April 7 2009.cal,18,Hay April 7 2009.cal,19,Hay April 7 2009.cal,21,Hay April 7 2009.cal,22,,,,,,,,,,SNIR6032,Unknown,"Small Plastic Cup, static",1,1,,3.08,5,10,2.34,5,10,1.94,5,10,2.57,5,10,2.4,5,10,2.78,5,10,2.35,5,10,2.48,5,10,2.36,5,10,1.4,5,10,2.04,5,10,6.9,5,10,8.66,5,10,6.53,5,10,2.23,5,10,3.11,5,10,2.59,5,10,2.21,5,10,2.74,5,10,1.63,5,10,,,,,,,,,
91757,Hay,Undefined,Hay,2/15/2023 3:57:36 PM,1921614,Yes,No,94.03,2.72,0.7,47.96,81.04,1.7,1.85,6.02,1.05,-0.89,10.02,71.49,68.61,48.03,0.12,0.57,0.37,0.11,0.1,0.08,,,,,,,,,,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,,,,,,,,,,,,,,,,,,,Hay April 7 2009.cal,1,Hay April 7 2009.cal,2,Hay April 7 2009.cal,3,Hay April 7 2009.cal,4,Hay April 7 2009.cal,5,Hay April 7 2009.cal,6,Hay April 7 2009.cal,7,Hay April 7 2009.cal,8,Hay April 7 2009.cal,9,Hay April 7 2009.cal,10,Hay April 7 2009.cal,11,Hay April 7 2009.cal,12,Hay April 7 2009.cal,13,Hay April 7 2009.cal,14,Hay April 7 2009.cal,16,Hay April 7 2009.cal,17,Hay April 7 2009.cal,18,Hay April 7 2009.cal,19,Hay April 7 2009.cal,21,Hay April 7 2009.cal,22,,,,,,,,,,SNIR6032,Unknown,"Small Plastic Cup, static",1,1,,2.84,5,10,2.22,5,10,1.8,5,10,2,5,10,2.08,5,10,2.17,5,10,2.28,5,10,2.32,5,10,2.19,5,10,1.41,5,10,1.99,5,10,9.04,5,10,9.04,5,10,9.48,5,10,1.86,5,10,3.39,5,10,2.36,5,10,1.81,5,10,2.74,5,10,1.57,5,10,,,,,,,,,
91755,Hay,Undefined,Hay,2/15/2023 3:58:56 PM,1921614,Yes,No,94.79,2.87,0.79,49.33,81.26,1.61,1.92,7.36,1.45,-0.11,10.71,70.09,68.46,46.78,0.25,0.56,0.65,0.13,0.11,0.1,,,,,,,,,,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,,,,,,,,,,,,,,,,,,,Hay April 7 2009.cal,1,Hay April 7 2009.cal,2,Hay April 7 2009.cal,3,Hay April 7 2009.cal,4,Hay April 7 2009.cal,5,Hay April 7 2009.cal,6,Hay April 7 2009.cal,7,Hay April 7 2009.cal,8,Hay April 7 2009.cal,9,Hay April 7 2009.cal,10,Hay April 7 2009.cal,11,Hay April 7 2009.cal,12,Hay April 7 2009.cal,13,Hay April 7 2009.cal,14,Hay April 7 2009.cal,16,Hay April 7 2009.cal,17,Hay April 7 2009.cal,18,Hay April 7 2009.cal,19,Hay April 7 2009.cal,21,Hay April 7 2009.cal,22,,,,,,,,,,SNIR6032,Unknown,"Small Plastic Cup, static",1,1,,2.7,5,10,2.14,5,10,1.9,5,10,2.61,5,10,2.14,5,10,2.35,5,10,2.21,5,10,2.23,5,10,2.1,5,10,1.54,5,10,1.96,5,10,5.6,5,10,6.41,5,10,5.55,5,10,2.1,5,10,2.99,5,10,2.43,5,10,2.15,5,10,4.2,5,10,1.6,5,10,,,,,,,,,
20390,Hay,Undefined,Hay,2/15/2023 3:59:51 PM,1921614,Yes,No,92.33,3.83,0.47,37.13,65.73,1.75,1.4,5.56,1.02,0.66,16.68,49.31,46.93,33.03,0.21,0.33,0.39,0.16,0.11,0.1,,,,,,,,,,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,,,,,,,,,,,,,,,,,,,Hay April 7 2009.cal,1,Hay April 7 2009.cal,2,Hay April 7 2009.cal,3,Hay April 7 2009.cal,4,Hay April 7 2009.cal,5,Hay April 7 2009.cal,6,Hay April 7 2009.cal,7,Hay April 7 2009.cal,8,Hay April 7 2009.cal,9,Hay April 7 2009.cal,10,Hay April 7 2009.cal,11,Hay April 7 2009.cal,12,Hay April 7 2009.cal,13,Hay April 7 2009.cal,14,Hay April 7 2009.cal,16,Hay April 7 2009.cal,17,Hay April 7 2009.cal,18,Hay April 7 2009.cal,19,Hay April 7 2009.cal,21,Hay April 7 2009.cal,22,,,,,,,,,,SNIR6032,Unknown,"Small Plastic Cup, static",1,1,,2.93,5,10,1.98,5,10,1.59,5,10,2.07,5,10,2.2,5,10,2.46,5,10,2.11,5,10,2.25,5,10,2.07,5,10,1.23,5,10,1.88,5,10,3.9,5,10,4.98,5,10,5.75,5,10,2.21,5,10,3.31,5,10,2.49,5,10,2.02,5,10,1.86,5,10,1.05,5,10,,,,,,,,,
210917,Hay,Undefined,Hay,2/15/2023 4:00:47 PM,1921614,Yes,No,92.56,7.14,0.72,44.23,72.78,1.67,4.85,5.75,1.35,3.44,9.97,61.24,55.55,40.39,0.31,0.69,1.63,0.11,0.18,0.13,,,,,,,,,,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,,,,,,,,,,,,,,,,,,,Hay April 7 2009.cal,1,Hay April 7 2009.cal,2,Hay April 7 2009.cal,3,Hay April 7 2009.cal,4,Hay April 7 2009.cal,5,Hay April 7 2009.cal,6,Hay April 7 2009.cal,7,Hay April 7 2009.cal,8,Hay April 7 2009.cal,9,Hay April 7 2009.cal,10,Hay April 7 2009.cal,11,Hay April 7 2009.cal,12,Hay April 7 2009.cal,13,Hay April 7 2009.cal,14,Hay April 7 2009.cal,16,Hay April 7 2009.cal,17,Hay April 7 2009.cal,18,Hay April 7 2009.cal,19,Hay April 7 2009.cal,21,Hay April 7 2009.cal,22,,,,,,,,,,SNIR6032,Unknown,"Small Plastic Cup, static",1,1,,1.98,5,10,1.57,5,10,1.22,5,10,1.4,5,10,1.42,5,10,1.32,5,10,1.72,5,10,1.72,5,10,1.61,5,10,1.2,5,10,1.58,5,10,2.23,5,10,2.59,5,10,5.87,5,10,1.7,5,10,2.82,5,10,2,5,10,1.55,5,10,2.42,5,10,0.73,5,10,,,,,,,,,
20392,Hay,Undefined,Hay,2/15/2023 4:01:56 PM,1921614,Yes,No,92.23,3.2,0.55,36.22,66.79,1.67,3.22,4.81,0.81,0.08,16.35,54.36,51.5,35.44,0.24,0.96,-0.12,0.16,0.07,0.08,,,,,,,,,,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,,,,,,,,,,,,,,,,,,,Hay April 7 2009.cal,1,Hay April 7 2009.cal,2,Hay April 7 2009.cal,3,Hay April 7 2009.cal,4,Hay April 7 2009.cal,5,Hay April 7 2009.cal,6,Hay April 7 2009.cal,7,Hay April 7 2009.cal,8,Hay April 7 2009.cal,9,Hay April 7 2009.cal,10,Hay April 7 2009.cal,11,Hay April 7 2009.cal,12,Hay April 7 2009.cal,13,Hay April 7 2009.cal,14,Hay April 7 2009.cal,16,Hay April 7 2009.cal,17,Hay April 7 2009.cal,18,Hay April 7 2009.cal,19,Hay April 7 2009.cal,21,Hay April 7 2009.cal,22,,,,,,,,,,SNIR6032,Unknown,"Small Plastic Cup, static",1,1,,2.64,5,10,1.82,5,10,1.27,5,10,1.74,5,10,1.77,5,10,1.88,5,10,2.3,5,10,2.2,5,10,1.94,5,10,1.01,5,10,1.97,5,10,9.15,5,10,9.34,5,10,12.32,5,10,1.83,5,10,4.26,5,10,2.39,5,10,1.65,5,10,1.66,5,10,1.14,5,10,,,,,,,,,
91758,Hay,Undefined,Hay,2/15/2023 4:02:53 PM,1921614,Yes,No,94.35,1.04,0.72,47.6,81.7,1.53,2.28,7.65,1.21,-1.85,9.94,72.68,71.39,49.36,0.17,0.8,0.09,0.11,0.06,0.07,,,,,,,,,,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,,,,,,,,,,,,,,,,,,,Hay April 7 2009.cal,1,Hay April 7 2009.cal,2,Hay April 7 2009.cal,3,Hay April 7 2009.cal,4,Hay April 7 2009.cal,5,Hay April 7 2009.cal,6,Hay April 7 2009.cal,7,Hay April 7 2009.cal,8,Hay April 7 2009.cal,9,Hay April 7 2009.cal,10,Hay April 7 2009.cal,11,Hay April 7 2009.cal,12,Hay April 7 2009.cal,13,Hay April 7 2009.cal,14,Hay April 7 2009.cal,16,Hay April 7 2009.cal,17,Hay April 7 2009.cal,18,Hay April 7 2009.cal,19,Hay April 7 2009.cal,21,Hay April 7 2009.cal,22,,,,,,,,,,SNIR6032,Unknown,"Small Plastic Cup, static",1,1,,2.78,5,10,2.04,5,10,1.75,5,10,2.16,5,10,2.02,5,10,2.36,5,10,2.16,5,10,2.24,5,10,2.05,5,10,1.22,5,10,1.83,5,10,12.46,5,10,14.84,5,10,10.7,5,10,1.92,5,10,3.88,5,10,2.26,5,10,1.83,5,10,2.42,5,10,1.51,5,10,,,,,,,,,
210915,Hay,Undefined,Hay,2/15/2023 4:04:00 PM,1921614,Yes,No,92.66,5.26,0.67,45.11,73.64,1.6,4.41,6.13,1.16,1.94,10.55,62.48,57.6,42.58,0.29,0.77,1.37,0.1,0.15,0.11,,,,,,,,,,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,,,,,,,,,,,,,,,,,,,Hay April 7 2009.cal,1,Hay April 7 2009.cal,2,Hay April 7 2009.cal,3,Hay April 7 2009.cal,4,Hay April 7 2009.cal,5,Hay April 7 2009.cal,6,Hay April 7 2009.cal,7,Hay April 7 2009.cal,8,Hay April 7 2009.cal,9,Hay April 7 2009.cal,10,Hay April 7 2009.cal,11,Hay April 7 2009.cal,12,Hay April 7 2009.cal,13,Hay April 7 2009.cal,14,Hay April 7 2009.cal,16,Hay April 7 2009.cal,17,Hay April 7 2009.cal,18,Hay April 7 2009.cal,19,Hay April 7 2009.cal,21,Hay April 7 2009.cal,22,,,,,,,,,,SNIR6032,Unknown,"Small Plastic Cup, static",1,1,,1.76,5,10,1.4,5,10,1.15,5,10,1.33,5,10,1.28,5,10,1.27,5,10,1.58,5,10,1.57,5,10,1.48,5,10,1,5,10,1.48,5,10,2.7,5,10,3.7,5,10,5.9,5,10,1.61,5,10,2.5,5,10,1.82,5,10,1.45,5,10,2.17,5,10,0.73,5,10,,,,,,,,,
91756,Hay,Undefined,Hay,2/15/2023 4:06:42 PM,1921614,Yes,No,94.21,2.34,0.64,47.05,80.41,1.74,1.05,6.72,1.23,-1.18,11.96,68.57,65.44,45.61,0.08,0.21,0.65,0.1,0.11,0.08,,,,,,,,,,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,,,,,,,,,,,,,,,,,,,Hay April 7 2009.cal,1,Hay April 7 2009.cal,2,Hay April 7 2009.cal,3,Hay April 7 2009.cal,4,Hay April 7 2009.cal,5,Hay April 7 2009.cal,6,Hay April 7 2009.cal,7,Hay April 7 2009.cal,8,Hay April 7 2009.cal,9,Hay April 7 2009.cal,10,Hay April 7 2009.cal,11,Hay April 7 2009.cal,12,Hay April 7 2009.cal,13,Hay April 7 2009.cal,14,Hay April 7 2009.cal,16,Hay April 7 2009.cal,17,Hay April 7 2009.cal,18,Hay April 7 2009.cal,19,Hay April 7 2009.cal,21,Hay April 7 2009.cal,22,,,,,,,,,,SNIR6032,Unknown,"Small Plastic Cup, static",1,1,,2.8,5,10,2.25,5,10,1.93,5,10,2.27,5,10,2.19,5,10,2.59,5,10,2.22,5,10,2.38,5,10,2.2,5,10,1.52,5,10,2.02,5,10,6.11,5,10,7.73,5,10,6.82,5,10,1.99,5,10,3.05,5,10,2.33,5,10,2.01,5,10,3.24,5,10,1.64,5,10,,,,,,,,,
90754,Hay,Undefined,Hay,2/15/2023 4:07:45 PM,1921614,Yes,No,95.51,6.01,0.65,39.13,72.74,1.96,2.82,4.5,0.55,3,9.6,68.18,66.5,43.76,0.46,1,-0.62,0.27,0.07,0.09,,,,,,,,,,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,,,,,,,,,,,,,,,,,,,Hay April 7 2009.cal,1,Hay April 7 2009.cal,2,Hay April 7 2009.cal,3,Hay April 7 2009.cal,4,Hay April 7 2009.cal,5,Hay April 7 2009.cal,6,Hay April 7 2009.cal,7,Hay April 7 2009.cal,8,Hay April 7 2009.cal,9,Hay April 7 2009.cal,10,Hay April 7 2009.cal,11,Hay April 7 2009.cal,12,Hay April 7 2009.cal,13,Hay April 7 2009.cal,14,Hay April 7 2009.cal,16,Hay April 7 2009.cal,17,Hay April 7 2009.cal,18,Hay April 7 2009.cal,19,Hay April 7 2009.cal,21,Hay April 7 2009.cal,22,,,,,,,,,,SNIR6032,Unknown,"Small Plastic Cup, static",1,1,,5.31,5,10,3.84,5,10,2.47,5,10,2.87,5,10,3.7,5,10,2.83,5,10,4.01,5,10,3.89,5,10,4.1,5,10,1.84,5,10,2.85,5,10,36.48,5,10,22.98,5,10,29.46,5,10,2.61,5,10,6.15,5,10,3.25,5,10,2.81,5,10,2.71,5,10,2.87,5,10,,,,,,,,,
90754,Hay,Undefined,Hay,2/15/2023 4:08:57 PM,1921614,Yes,No,95.56,5.88,0.64,37.49,70.67,1.92,3.11,3.96,0.46,3.32,10.4,65.82,64.6,41.79,0.44,0.88,-0.6,0.26,0.08,0.1,,,,,,,,,,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,,,,,,,,,,,,,,,,,,,Hay April 7 2009.cal,1,Hay April 7 2009.cal,2,Hay April 7 2009.cal,3,Hay April 7 2009.cal,4,Hay April 7 2009.cal,5,Hay April 7 2009.cal,6,Hay April 7 2009.cal,7,Hay April 7 2009.cal,8,Hay April 7 2009.cal,9,Hay April 7 2009.cal,10,Hay April 7 2009.cal,11,Hay April 7 2009.cal,12,Hay April 7 2009.cal,13,Hay April 7 2009.cal,14,Hay April 7 2009.cal,16,Hay April 7 2009.cal,17,Hay April 7 2009.cal,18,Hay April 7 2009.cal,19,Hay April 7 2009.cal,21,Hay April 7 2009.cal,22,,,,,,,,,,SNIR6032,Unknown,"Small Plastic Cup, static",1,1,,5.26,5,10,3.84,5,10,2.59,5,10,2.96,5,10,3.81,5,10,2.8,5,10,4.12,5,10,3.83,5,10,4.19,5,10,1.84,5,10,2.91,5,10,32.99,5,10,21.74,5,10,27.38,5,10,2.57,5,10,5.96,5,10,3.24,5,10,2.67,5,10,2.61,5,10,2.63,5,10,,,,,,,,,
